No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
53,"Wilson, Ramik",lineb,ACT,74,237,19-Aug-92,2,Georgia,Chiefs,Missouri
32,"Wilson, Tavon",dback,ACT,72,212,19-Mar-90,5,Illinois,Lions,Michigan
73,"Winston, Eric",off,ACT,79,310,17-Nov-83,10,Miami (Fla.),Bengals,Ohio
67,"Winters, Brian",off,RES,76,320,10-Jul-91,4,Kent State,Jets,New York
70,"Wood, Eric",off,RES,76,310,18-Mar-86,8,Louisville,Bills,New York
59,"Woodyard, Wesley",lineb,ACT,72,233,21-Jul-86,9,Kentucky,Titans,Tennessee 
26,"Worley, Daryl",dback,ACT,73,205,22-Feb-95,0,West Virginia,Panthers,North Carolina
55,"Worrilow, Paul",lineb,ACT,72,230,1-May-90,4,Delaware,Falcons,Georgia
38,"Wreh-Wilson, Blidi",dback,ACT,73,198,5-Dec-89,4,Connecticut,Falcons,Georgia
50,"Wright, K.J.",lineb,ACT,76,246,23-Jul-89,6,Mississippi State,Seahawks,Washington
58,"Wright, Scooby",lineb,ACT,72,240,29-Aug-94,0,Arizona,Cardinals,Arizona
58,"Wright, Scooby",lineb,ACT,72,240,29-Aug-94,0,Arizona,Eagles,Pennsylvania
24,"Wright, Shareece",dback,ACT,71,184,8-Apr-87,6,USC,Ravens,Maryland
73,"Yanda, Marshal",off,ACT,75,305,15-Sep-84,10,Iowa,Ravens,Maryland
25,"Young, Lou",dback,ACT,72,205,9-Oct-91,1,Georgia Tech,Panthers,North Carolina
79,"Young, Sam",off,ACT,80,320,24-Jun-87,7,Notre Dame,Dolphins,Florida
36,"Young, Tavon",dback,ACT,69,177,14-Mar-94,0,Temple,Ravens,Maryland
97,"Young, Willie",lineb,ACT,76,258,19-Sep-85,7,North Carolina State,Bears,Illinois
68,"Zeitler, Kevin",off,ACT,76,320,8-Mar-90,5,Wisconsin,Bengals,Ohio
51,"Zombo, Frank",lineb,ACT,75,254,5-Mar-87,7,Central Michigan,Chiefs,Missouri
53,"Zuttah, Jeremy",off,ACT,76,300,1-Jun-86,9,Rutgers,Ravens,Maryland
