No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
55,"Ford, Dee",lineb,ACT,74,252,19-Mar-91,3,Auburn,Chiefs,Missouri
59,"Forrest, Josh",lineb,RES,75,249,24-Feb-92,0,Kentucky,Rams,California
54,"Fort, L.J.",lineb,ACT,72,232,3-Jan-90,2,Northern Iowa,Steelers,Pennsylvania
54,"Foster, Mason",lineb,ACT,73,250,1-Mar-89,6,Washington,Redskins,DC
73,"Foster, Ramon",off,ACT,77,328,7-Jan-86,8,Tennessee,Steelers,Pennsylvania
71,"France, Dan",off,ACT,78,312,1-Apr-91,1,Michigan State,Panthers,North Carolina
35,"Frazier, Kavon",dback,ACT,72,217,11-Aug-94,0,Central Michigan,Cowboys,Texas
72,"Frederick, Travis",off,ACT,76,318,18-Mar-91,4,Wisconsin,Cowboys,Texas
68,"Free, Doug",off,ACT,78,318,16-Jan-84,10,Northern Illinois,Cowboys,Texas
50,"Freeman, Jerrell",lineb,ACT,72,236,1-May-86,5,Mary Hardin-Baylor,Bears,Illinois
55,"Freeny, Jonathan",lineb,RES,74,255,15-Jun-89,5,Rutgers,Patriots,Massachusetts
59,"Fua, Alani",lineb,RES,77,234,1-Jan-92,2,Brigham Young,Cardinals,Arizona
59,"Fua, Alani",lineb,RES,77,234,1-Jan-92,2,Brigham Young,Eagles,Pennsylvania
38,"Fuller, Kendall",dback,ACT,71,196,13-Feb-95,0,Virginia Tech,Redskins,DC
23,"Fuller, Kyle",dback,RES,71,190,16-Feb-92,3,Virginia Tech,Bears,Illinois
73,"Fulton, Zach",off,ACT,77,316,23-Sep-91,3,Tennessee,Chiefs,Missouri
63,"Fusco, Brandon",off,ACT,76,306,26-Jul-88,6,Slippery Rock,Vikings,Minnesota
52,"Gachkar, Andrew",lineb,ACT,74,224,4-Nov-88,6,Missouri,Cowboys,Texas
33,"Gaines, E.J.",dback,ACT,70,190,23-Feb-92,3,Missouri,Rams,California
23,"Gaines, Phillip",dback,ACT,72,193,4-Apr-91,3,Rice,Chiefs,Missouri
63,"Garland, Ben",off,ACT,77,308,6-Apr-88,3,Air Force,Falcons,Georgia
52,"Garvin, Terence",lineb,ACT,75,235,1-Jan-91,4,West Virginia,Redskins,DC
49,"Gause, Quentin",lineb,ACT,72,243,30-Oct-92,0,Rutgers,Broncos,Colorado
22,"Gay, William",dback,ACT,70,187,1-Jan-85,10,Louisville,Steelers,Pennsylvania
26,"Geathers, Clayton",dback,RES,74,220,1-Jun-92,2,Central Florida,Colts,Indiana
68,"Giacomini, Breno",off,RES,79,318,27-Sep-85,9,Louisville,Jets,New York
24,"Gilbert, Justin",dback,ACT,72,202,7-Nov-91,3,Oklahoma State,Steelers,Pennsylvania
77,"Gilbert, Marcus",off,ACT,78,330,15-Feb-88,6,Florida,Steelers,Pennsylvania
21,"Gilchrist, Marcus",dback,RES,70,198,8-Dec-88,6,Clemson,Jets,New York
79,"Gilliam, Garry",off,ACT,77,315,26-Nov-90,3,Penn State,Seahawks,Washington
24,"Gilmore, Stephon",dback,ACT,73,190,19-Sep-90,5,South Carolina,Bills,New York
39,"Gipson, Tashaun",dback,ACT,71,210,7-Aug-90,5,Wyoming,Jaguars,Florida
53,"Glanton, Adarius",lineb,ACT,73,230,21-Sep-90,3,Florida Atlantic,Buccaneers,Florida
77,"Glenn, Cordy",off,ACT,78,345,18-Sep-89,5,Georgia,Bills,New York
44,"Golden, Markus",lineb,ACT,75,260,13-Mar-91,2,Missouri,Cardinals,Arizona
44,"Golden, Markus",lineb,ACT,75,260,13-Mar-91,2,Missouri,Eagles,Pennsylvania
21,"Golden, Robert",dback,ACT,71,202,13-Sep-90,5,Arizona,Steelers,Pennsylvania
